composition,family_count,system_frequency,has_novel_family,novel_families
"(2991, 11066)",2,4,False,[]
"(9810, 10438)",2,4,True,"[9810, 10438]"
"(2435, 6549)",2,4,True,[6549]
"(139, 339)",2,4,False,[]
"(1617, 7844)",2,4,False,[]
"(5974, 6572)",2,4,True,[6572]
"(11936, 12038)",2,4,False,[]
"(500, 789)",2,4,False,[]
"(3853, 7359)",2,4,True,[3853]
"(6123, 8529)",2,4,True,[6123]
"(3116, 8420)",2,4,False,[]
"(1529, 8606)",2,4,True,[1529]
"(3613, 6226)",2,4,True,[6226]
"(2649, 3489)",2,4,True,[2649]
"(2624, 8415)",2,4,False,[]
"(1985, 8314)",2,4,False,[]
"(5891, 9589)",2,4,True,[5891]
"(5346, 6546)",2,4,False,[]
"(2377, 2708)",2,4,True,[2708]
"(2339, 3917)",2,4,False,[]
"(5993, 9633)",2,4,True,[5993]
"(4975, 6736)",2,4,True,[6736]
"(160, 5239)",2,4,False,[]
"(6848, 8949)",2,4,True,[8949]
"(7562, 9282)",2,4,False,[]
"(3391, 6271)",2,4,True,[6271]
"(1238, 3848)",2,4,False,[]
"(10755, 11700)",2,4,False,[]
"(2082, 4770)",2,4,False,[]
"(2430, 4952)",2,4,False,[]
"(5167, 5544)",2,4,False,[]
"(4960, 12304)",2,4,False,[]
"(3993, 11814)",2,4,False,[]
"(4120, 6902)",2,4,False,[]
"(5933, 8238)",2,4,False,[]
"(11593, 12692)",2,3,True,"[11593, 12692]"
"(578, 3189)",2,3,True,[3189]
"(77, 965)",2,3,False,[]
"(1161, 1669, 2057)",3,3,True,[1669]
"(2838, 7516)",2,3,True,[7516]
"(6992, 7347)",2,3,True,"[6992, 7347]"
"(630, 1022)",2,3,False,[]
"(1649, 8437)",2,3,False,[]
"(3320, 10836)",2,3,True,[10836]
"(10632, 10721)",2,3,False,[]
"(232, 1653, 2424, 2620, 8159)",5,3,False,[]
"(2331, 9095)",2,3,True,[9095]
"(923, 4120, 6915)",3,3,False,[]
"(7106, 9589)",2,3,True,[7106]
"(4681, 10939)",2,3,False,[]
"(11303, 12358)",2,3,True,[12358]
"(4311, 8677)",2,3,False,[]
"(1010, 4120)",2,3,False,[]
"(8663, 9373)",2,3,True,[9373]
"(2058, 5040)",2,3,False,[]
"(228, 3184)",2,3,False,[]
"(155, 11897)",2,3,True,[11897]
"(9039, 11398)",2,3,True,[11398]
"(5346, 8389)",2,3,False,[]
"(660, 4969)",2,3,True,[4969]
"(6355, 8114)",2,3,True,[6355]
"(3720, 7368)",2,3,False,[]
"(6659, 8098)",2,3,True,[6659]
"(4356, 11289)",2,3,True,[4356]
"(4225, 8509)",2,3,True,[8509]
"(946, 2147, 3036)",3,3,True,[2147]
"(1626, 7738)",2,3,False,[]
"(814, 1136)",2,3,True,"[814, 1136]"
"(3551, 8493)",2,3,False,[]
"(10067, 10196)",2,3,True,[10067]
"(1705, 4231)",2,3,True,[1705]
"(510, 5555)",2,3,True,[510]
"(11371, 12473)",2,3,True,[12473]
"(606, 7077)",2,3,False,[]
"(6729, 8386)",2,3,True,[8386]
"(5026, 7965)",2,3,True,[7965]
"(189, 1357)",2,3,True,[189]
"(5080, 7728)",2,3,True,[5080]
"(8744, 9628)",2,3,True,[9628]
"(1035, 2739)",2,3,False,[]
"(510, 3462, 5555)",3,3,True,[510]
"(747, 4087)",2,3,False,[]
"(1959, 2484)",2,3,True,[1959]
"(1056, 3206)",2,3,False,[]
"(265, 3275, 6451)",3,3,False,[]
"(5392, 8628)",2,3,True,[8628]
"(6514, 8341)",2,3,False,[]
"(3704, 8176)",2,3,True,[3704]
"(901, 8681)",2,3,True,[8681]
"(10385, 12242)",2,3,True,[12242]
"(1489, 2077, 7367)",3,3,True,[1489]
"(2229, 3975)",2,3,True,[3975]
"(11067, 12019)",2,3,False,[]
"(2700, 7651)",2,3,True,[7651]
"(133, 1972)",2,3,True,[1972]
"(7970, 11728)",2,3,False,[]
"(1470, 1470)",2,3,False,[]
"(5033, 7673)",2,3,True,[5033]
"(3596, 7418)",2,3,False,[]
"(1880, 5187)",2,3,False,[]
"(10825, 12418)",2,3,True,[12418]
"(1902, 4965)",2,3,True,"[1902, 4965]"
"(11443, 12479)",2,3,True,"[11443, 12479]"
"(2878, 3234)",2,3,False,[]
"(1074, 3044)",2,3,True,[1074]
"(3792, 5457)",2,3,True,[3792]
"(204, 9368)",2,3,False,[]
"(2085, 4770)",2,3,False,[]
"(4197, 11706)",2,3,False,[]
"(6434, 7621)",2,3,True,[6434]
"(6945, 11889)",2,3,True,[6945]
"(7738, 12680)",2,3,True,[12680]
"(1035, 1035)",2,3,False,[]
"(7535, 8751)",2,3,False,[]
"(5878, 11824)",2,3,False,[]
"(6531, 8575)",2,3,True,[6531]
"(2280, 8111)",2,3,True,[8111]
"(565, 3571)",2,3,False,[]
"(1385, 1440)",2,3,False,[]
"(2130, 10793)",2,3,True,[2130]
"(1787, 7010)",2,3,False,[]
"(7601, 12165)",2,3,True,[7601]
"(2874, 4857)",2,3,True,[2874]
"(4083, 5012)",2,3,True,[5012]
"(843, 6430)",2,3,False,[]
"(2300, 4545)",2,3,False,[]
"(11444, 11936)",2,3,True,[11444]
"(202, 221)",2,3,True,[221]
"(1942, 12505)",2,3,True,[1942]
"(1147, 1811)",2,3,True,[1147]
"(6876, 7402)",2,3,False,[]
"(1103, 5154)",2,3,True,[5154]
"(1823, 7456)",2,3,False,[]
"(11665, 12112)",2,3,True,[11665]
"(526, 4234)",2,3,True,[526]
"(2878, 8380)",2,3,False,[]
"(5392, 8546)",2,3,False,[]
"(7325, 8580)",2,3,False,[]
"(7297, 9182)",2,3,False,[]
"(270, 6658)",2,3,True,[6658]
"(747, 5531)",2,3,True,[5531]
"(1999, 9472)",2,3,True,[1999]
"(4568, 12014, 12251)",3,3,False,[]
"(11221, 11745)",2,3,True,[11745]
"(5668, 9309)",2,3,True,[5668]
"(955, 4120)",2,3,False,[]
