Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(105, 201, 557, 674, 1173, 1194, 2668, 3083, 7066, 9410, 10520)",4,[10520],Fam_105=BREX__pglX1; Fam_201=BREX__brxC; Fam_557=BREX__pglZA; Fam_674=Zorya_TypeI__ZorD; Fam_1173=Shango__SngC; Fam_1194=Zorya__ZorA; Fam_2668=Unknown_Defense; Fam_3083=BREX__brxD; Fam_7066=Zorya__ZorB; Fam_9410=BREX__brxB_DUF1788
"(3969, 5711, 7227)",4,[3969],Fam_5711=AbiEii__AbiEi; Fam_7227=AbiEii__AbiEii
"(3580, 4504)",4,[4504],Fam_3580=Unknown_Defense
"(3212, 6069)",4,[3212],Fam_6069=Mokosh_type_I__MkoB_A
"(5222, 6458)",4,[6458],Fam_5222=Unknown_Defense
"(8029, 9239)",4,[9239],Fam_8029=AbiEii__AbiEi
"(2208, 5872)",4,[5872],Fam_2208=BREX__pglY
"(6008, 10738)",4,[6008],Fam_10738=Unknown_Defense
"(3943, 10596)",4,"[3943, 10596]",Pure_Novel_System
"(13605, 13832)",4,[13832],Fam_13605=MazEF__MazE
"(993, 4560)",4,[993],Fam_4560=Unknown_Defense
"(13017, 13296)",4,[13017],Fam_13296=MazEF__MazF
"(6264, 9539)",4,[6264],Fam_9539=AbiEii__AbiEii
"(3585, 4764, 8363)",4,[4764],Fam_3585=RM_Type_II__Type_II_MTases; Fam_8363=RM_Type_II__Type_II_REases
"(391, 537)",4,"[391, 537]",Pure_Novel_System
"(4249, 4398)",4,[4249],Fam_4398=pAgo__GbbAgaS
"(4077, 6450)",4,[4077],Fam_6450=Unknown_Defense
"(4157, 4983)",4,[4983],Fam_4157=RM_Type_II__Type_II_REases
"(4327, 8365)",4,"[4327, 8365]",Pure_Novel_System
"(1530, 12448)",4,[1530],Fam_12448=Unknown_Defense
"(5748, 9652)",4,[9652],Fam_5748=SanaTA__SanaT
"(8395, 13531)",4,[13531],Fam_8395=Detocs__dtcC
"(11849, 14034)",4,[14034],Fam_11849=MazEF__MazF
"(4030, 9417)",4,[4030],Fam_9417=Unknown_Defense
"(626, 988)",4,[988],Fam_626=RM_Type_III__Type_III_REases
"(12962, 13761)",4,[13761],Fam_12962=MazEF__MazF
"(4632, 12891)",4,[4632],Fam_12891=RosmerTA__RmrT
"(4369, 6585)",4,[6585],Fam_4369=AbiEii__AbiEi
"(5807, 9738)",4,[5807],Fam_9738=Unknown_Defense
"(1671, 2802)",4,[2802],Fam_1671=pAgo__pAgo_SPARTA
"(12198, 13303)",4,[13303],Fam_12198=PfiAT__PfiT
"(5045, 10741)",4,[10741],Fam_5045=RosmerTA__RmrA
"(12336, 13282)",4,"[12336, 13282]",Pure_Novel_System
"(5603, 8203)",4,[8203],Fam_5603=Unknown_Defense
"(10376, 12960)",4,[12960],Fam_10376=MazEF__MazF
"(7700, 13451)",4,[13451],Fam_7700=Unknown_Defense
"(3678, 4735)",4,[4735],Fam_3678=Unknown_Defense
"(5633, 5762)",4,[5633],Fam_5762=Unknown_Defense
"(11895, 13143)",4,[13143],Fam_11895=MazEF__MazF
"(438, 726)",4,[726],Fam_438=RM_Type_III__Type_III_REases
"(5502, 9416)",4,[9416],Fam_5502=RM_Type_II__Type_II_MTases
"(1789, 5732)",4,[5732],Fam_1789=Unknown_Defense
"(12529, 13626)",4,[13626],Fam_12529=MazEF__MazF
"(636, 3372)",4,[636],Fam_3372=Unknown_Defense
"(7419, 12441)",4,"[7419, 12441]",Pure_Novel_System
"(8466, 10564)",4,[8466],Fam_10564=Unknown_Defense
"(783, 10229)",4,[783],Fam_10229=ShosTA__ShosT
"(7330, 11918)",4,[7330],Fam_11918=Unknown_Defense
"(3002, 5528)",3,[3002],Fam_5528=RM_Type_IV__Type_IV_REases
"(5743, 12648)",3,[5743],Fam_12648=RM_Type_II__Type_II_REases
"(6746, 8354)",3,[6746],Fam_8354=AbiEii__AbiEi
"(6040, 9034)",3,[9034],Fam_6040=Unknown_Defense
"(3801, 9328)",3,[9328],Fam_3801=RM_Type_II__Type_II_MTases
"(1624, 2377, 3269)",3,[1624],Fam_2377=RM_Type_II__Type_II_MTases; Fam_3269=RM_Type_II__Type_II_REases
"(5477, 5842)",3,[5477],Fam_5842=Unknown_Defense
"(5006, 6006)",3,[6006],Fam_5006=Wadjet__JetB_I
"(3758, 3758)",3,[3758],Pure_Novel_System
"(1566, 4055)",3,[1566],Fam_4055=AbiEii__AbiEii
"(8144, 13112)",3,[13112],Fam_8144=Unknown_Defense
"(7518, 7650)",3,[7518],Fam_7650=AbiEii__AbiEii
"(10630, 11451)",3,[11451],Fam_10630=Unknown_Defense
"(3081, 5006)",3,[3081],Fam_5006=Wadjet__JetB_I
"(5215, 12185)",3,[12185],Fam_5215=Unknown_Defense
"(2385, 4970)",3,[2385],Fam_4970=Unknown_Defense
"(1599, 10793)",3,[1599],Fam_10793=Unknown_Defense
"(1523, 7247)",3,[7247],Fam_1523=DISARM__drmB
"(647, 11495)",3,[11495],Fam_647=Unknown_Defense
"(10631, 11539)",3,[11539],Fam_10631=Unknown_Defense
"(2553, 3696, 6417)",3,[6417],Fam_2553=RM__Type_I_MTases; Fam_3696=RM__Type_I_S
"(10680, 11663)",3,"[10680, 11663]",Pure_Novel_System
"(6941, 7094)",3,"[6941, 7094]",Pure_Novel_System
"(1922, 9724)",3,[9724],Fam_1922=pAgo__pAgo_S1B
"(413, 1330, 5723)",3,[1330],Fam_413=Zorya_TypeI__ZorD; Fam_5723=Zorya__ZorB
"(5540, 8124, 12817, 13462, 13529)",3,[12817],Fam_5540=cas1_I_II_III_IV_V_VI_10; Fam_8124=cas1_III; Fam_13462=cas2_I_II_III_IV_V_VI_3; Fam_13529=cas2_I_II_III_IV_V_VI_3
"(8190, 11189)",3,[11189],Fam_8190=Unknown_Defense
"(220, 3196)",3,[3196],Fam_220=Wadjet__JetC_II
"(5352, 6685)",3,[6685],Fam_5352=Pycsar__AG_cyclase
"(1834, 4234, 12589)",3,"[4234, 12589]",Fam_1834=RM_Type_IIG__Type_IIG
"(1220, 5990)",3,[5990],Fam_1220=Olokun__OloA
"(12948, 14170)",3,"[12948, 14170]",Pure_Novel_System
"(3306, 8822)",3,[3306],Fam_8822=Unknown_Defense
"(10047, 10574)",3,[10047],Fam_10574=AbiEii__AbiEi
"(4343, 12236)",3,[12236],Fam_4343=Unknown_Defense
"(1068, 2783)",3,[2783],Fam_1068=RM__Type_I_REases
"(2121, 5934)",3,[5934],Fam_2121=Unknown_Defense
"(13461, 13850)",3,[13461],Fam_13850=MazEF__MazE
"(7362, 13312)",3,[13312],Fam_7362=RM_Type_II__Type_II_MTases
"(6074, 7363)",3,[7363],Fam_6074=Unknown_Defense
"(11587, 14331)",3,[11587],Fam_14331=Unknown_Defense
"(134, 328)",3,[328],Fam_134=Unknown_Defense
"(6137, 6799)",3,[6799],Fam_6137=AbiEii__AbiEii
"(2610, 9362)",3,"[2610, 9362]",Pure_Novel_System
"(596, 3092)",3,[3092],Fam_596=CBASS__Cyclase_II
"(2369, 3171)",3,[2369],Fam_3171=Unknown_Defense
"(4085, 7297)",3,"[4085, 7297]",Pure_Novel_System
"(6400, 8344)",3,[8344],Fam_6400=AbiEii__AbiEii
"(7275, 8596)",3,[7275],Fam_8596=Unknown_Defense
