composition,family_count,system_frequency,has_novel_family,novel_families
"(647, 11495)",2,3,True,[11495]
"(10631, 11539)",2,3,True,[11539]
"(2553, 3696, 6417)",3,3,True,[6417]
"(10680, 11663)",2,3,True,"[10680, 11663]"
"(6941, 7094)",2,3,True,"[6941, 7094]"
"(1922, 9724)",2,3,True,[9724]
"(413, 1330, 5723)",3,3,True,[1330]
"(5540, 8124, 12817, 13462, 13529)",5,3,True,[12817]
"(8190, 11189)",2,3,True,[11189]
"(220, 3196)",2,3,True,[3196]
"(5352, 6685)",2,3,True,[6685]
"(1834, 4234, 12589)",3,3,True,"[4234, 12589]"
"(1220, 5990)",2,3,True,[5990]
"(12948, 14170)",2,3,True,"[12948, 14170]"
"(3306, 8822)",2,3,True,[3306]
"(10047, 10574)",2,3,True,[10047]
"(4343, 12236)",2,3,True,[12236]
"(1068, 2783)",2,3,True,[2783]
"(2121, 5934)",2,3,True,[5934]
"(13461, 13850)",2,3,True,[13461]
"(7362, 13312)",2,3,True,[13312]
"(6074, 7363)",2,3,True,[7363]
"(11587, 14331)",2,3,True,[11587]
"(134, 328)",2,3,True,[328]
"(6137, 6799)",2,3,True,[6799]
"(2610, 9362)",2,3,True,"[2610, 9362]"
"(596, 3092)",2,3,True,[3092]
"(2369, 3171)",2,3,True,[2369]
"(4085, 7297)",2,3,True,"[4085, 7297]"
"(6400, 8344)",2,3,True,[8344]
"(7275, 8596)",2,3,True,[7275]
"(4296, 4355)",2,3,True,[4296]
"(4964, 6815)",2,3,True,[4964]
"(2354, 2549)",2,3,True,[2549]
"(12784, 14034)",2,3,True,[14034]
"(179, 3665, 9339)",3,3,True,[9339]
"(4038, 8556)",2,3,True,[8556]
"(7440, 12719)",2,3,True,[12719]
"(11414, 12739, 13557)",3,3,True,[12739]
"(12847, 13850)",2,3,True,[12847]
"(4795, 6804)",2,3,True,[6804]
"(9039, 14002)",2,3,True,[14002]
"(12329, 14006)",2,3,True,[14006]
"(858, 2449)",2,3,True,[858]
"(335, 6471)",2,3,True,"[335, 6471]"
"(3842, 10422)",2,3,True,[10422]
"(3680, 9669)",2,3,True,[9669]
"(12696, 13791)",2,3,True,[13791]
"(8083, 10240)",2,3,True,[10240]
"(8211, 11031)",2,3,True,[11031]
"(1457, 3391)",2,3,True,[1457]
"(7594, 10065)",2,3,True,[10065]
"(1255, 2187)",2,3,True,[2187]
"(2503, 7144)",2,3,True,"[2503, 7144]"
"(4115, 6032)",2,3,True,[4115]
"(4106, 12642)",2,3,True,[12642]
"(3831, 6138)",2,3,True,[3831]
"(7597, 11673)",2,3,True,[7597]
"(10888, 13625)",2,3,True,[10888]
"(7114, 9971)",2,3,True,[7114]
"(7791, 13641)",2,3,True,[7791]
"(8031, 8516)",2,3,True,[8516]
"(4262, 5413)",2,3,True,[5413]
"(284, 4575)",2,3,True,"[284, 4575]"
"(5617, 8700)",2,3,True,[8700]
"(845, 3068)",2,3,True,[3068]
"(7034, 7864)",2,3,True,"[7034, 7864]"
"(1301, 5862)",2,3,True,[5862]
"(991, 1840)",2,3,True,[1840]
"(2336, 9860)",2,3,True,[2336]
"(1598, 6038)",2,3,True,[6038]
"(8066, 11022)",2,3,True,[11022]
"(12936, 13534)",2,3,True,[12936]
"(3103, 4742)",2,3,True,[4742]
"(1790, 2912)",2,3,True,[1790]
"(11483, 13841)",2,3,True,[11483]
"(13231, 13804)",2,3,True,[13804]
"(13199, 13226)",2,3,True,[13199]
"(12728, 13550)",2,3,True,[12728]
"(12407, 13875)",2,3,True,[12407]
"(5757, 9007)",2,3,True,[5757]
"(432, 2863)",2,3,True,[2863]
"(3291, 6430)",2,3,True,[6430]
"(2434, 5122)",2,3,True,[5122]
"(2508, 8306)",2,3,True,[2508]
"(3572, 8595)",2,3,True,"[3572, 8595]"
"(1468, 6359)",2,3,True,[6359]
"(258, 6680)",2,3,True,"[258, 6680]"
"(170, 6724)",2,3,True,[6724]
"(11588, 12225)",2,3,True,[12225]
"(262, 350, 450, 3691, 7404, 8330, 10091)",7,3,True,[3691]
"(1692, 2004)",2,3,True,[1692]
"(626, 1088)",2,3,True,[1088]
"(8545, 9889)",2,3,True,[8545]
"(3612, 9132)",2,3,True,[3612]
"(12609, 13935)",2,3,True,[13935]
"(3278, 3457)",2,3,True,[3278]
"(7525, 12643)",2,3,True,"[7525, 12643]"
"(4870, 6245)",2,3,True,[6245]
"(12300, 12512)",2,3,True,[12512]
"(342, 462)",2,3,True,[462]
"(6043, 11494)",2,3,True,[6043]
"(3253, 9266)",2,3,True,[3253]
"(2868, 6858)",2,3,True,[2868]
"(2841, 9041)",2,3,True,[2841]
"(2113, 6156)",2,3,True,"[2113, 6156]"
"(11767, 12277)",2,3,True,[11767]
"(1850, 2143, 7309)",3,3,True,[2143]
"(653, 2035, 4011)",3,3,True,[2035]
"(5907, 13177)",2,3,True,[5907]
"(2228, 6056)",2,3,True,[2228]
"(5491, 6720)",2,3,True,[6720]
"(880, 1104, 3491)",3,3,True,[1104]
"(1530, 6117)",2,3,True,[1530]
"(10074, 13056)",2,3,True,[10074]
"(7290, 7984)",2,3,True,[7290]
"(6483, 11591)",2,3,True,[11591]
"(7322, 12983)",2,3,True,"[7322, 12983]"
"(755, 7384)",2,3,True,[7384]
"(5607, 7055)",2,3,True,[7055]
"(1356, 7097)",2,3,True,[1356]
"(11646, 12153)",2,3,True,"[11646, 12153]"
"(5016, 8852)",2,3,True,[5016]
"(633, 3158)",2,3,True,[3158]
"(4486, 4564)",2,3,True,[4486]
"(2482, 8736)",2,3,True,[2482]
"(7426, 7579)",2,3,True,[7579]
"(10956, 12579)",2,3,True,[10956]
"(6551, 14082)",2,3,True,[6551]
"(1490, 4387)",2,3,True,[4387]
"(12841, 13656)",2,3,True,[13656]
"(603, 4433)",2,2,True,[4433]
"(6185, 10012)",2,2,True,"[6185, 10012]"
"(4759, 14311)",2,2,True,[14311]
"(4528, 12479)",2,2,True,[4528]
"(3047, 9494)",2,2,True,[3047]
"(2288, 11633)",2,2,True,[11633]
"(5354, 10411)",2,2,True,[5354]
"(954, 6513)",2,2,True,[6513]
"(5173, 8850)",2,2,True,[5173]
