composition,family_count,system_frequency,has_novel_family,novel_families
"(2754, 8496)",2,3,True,[2754]
"(9080, 12778)",2,3,True,[12778]
"(4576, 5846)",2,3,True,[5846]
"(980, 5127)",2,3,True,[980]
"(2725, 10094)",2,3,True,[10094]
"(363, 3383)",2,3,True,[363]
"(489, 1616)",2,3,True,[1616]
"(5490, 6464)",2,3,True,[6464]
"(8796, 8907)",2,3,True,[8907]
"(7111, 7202)",2,3,True,[7202]
"(539, 4846)",2,3,True,[4846]
"(7655, 10991)",2,3,True,[10991]
"(2645, 8802)",2,3,True,[8802]
"(11340, 11851)",2,3,True,[11851]
"(6916, 9375)",2,3,True,[9375]
"(11091, 12636)",2,3,True,[11091]
"(1818, 5226)",2,2,True,[1818]
"(2707, 10409)",2,2,True,"[2707, 10409]"
"(796, 1629)",2,2,True,[1629]
"(12051, 12225)",2,2,True,[12051]
"(3738, 11374)",2,2,True,[11374]
"(2575, 3264)",2,2,True,[2575]
"(3318, 8661)",2,2,True,[8661]
"(524, 7087)",2,2,True,[7087]
"(53, 2749, 4556, 7588)",4,2,True,[4556]
"(4537, 10125)",2,2,True,[10125]
"(1990, 9011)",2,2,True,[9011]
"(6722, 10536)",2,2,True,[10536]
"(11067, 12589)",2,2,True,[12589]
"(112, 12138)",2,2,True,[12138]
"(6327, 8874)",2,2,True,[8874]
"(8713, 11160)",2,2,True,[8713]
"(7177, 8808)",2,2,True,[7177]
"(2376, 7210)",2,2,True,[7210]
"(3719, 9249)",2,2,True,[9249]
"(6105, 8653)",2,2,True,[8653]
"(11298, 12449)",2,2,True,[11298]
"(6789, 11823)",2,2,True,[6789]
"(5401, 9989)",2,2,True,[9989]
"(3223, 9029)",2,2,True,[3223]
"(4311, 8422)",2,2,True,[8422]
"(1546, 5455)",2,2,True,[5455]
"(60, 2877)",2,2,True,[2877]
"(3673, 9365)",2,2,True,[3673]
"(4021, 4872)",2,2,True,[4021]
"(10114, 12454)",2,2,True,"[10114, 12454]"
"(5974, 6282)",2,2,True,[6282]
"(6698, 10996)",2,2,True,[10996]
"(2772, 4699)",2,2,True,[2772]
"(3962, 6046)",2,2,True,"[3962, 6046]"
"(3652, 10465)",2,2,True,[3652]
"(1770, 3995)",2,2,True,[3995]
"(2985, 10761)",2,2,True,[2985]
"(5691, 7644)",2,2,True,[7644]
"(4549, 8152)",2,2,True,[4549]
"(8371, 9991)",2,2,True,[9991]
"(3237, 5171)",2,2,True,[3237]
"(614, 2723)",2,2,True,[2723]
"(7125, 8020)",2,2,True,[7125]
"(173, 5652)",2,2,True,[5652]
"(1525, 7993)",2,2,True,[7993]
"(1006, 8044)",2,2,True,[1006]
"(2154, 4316)",2,2,True,[2154]
"(3763, 5886)",2,2,True,[5886]
"(4287, 12318)",2,2,True,[4287]
"(10766, 11341)",2,2,True,[11341]
"(2264, 4650)",2,2,True,[2264]
"(7029, 12744)",2,2,True,[12744]
"(1016, 2311)",2,2,True,[1016]
"(2677, 4090)",2,2,True,"[2677, 4090]"
"(4017, 9825)",2,2,True,"[4017, 9825]"
"(9546, 11066)",2,2,True,[9546]
"(197, 2864)",2,2,True,[2864]
"(12277, 12466)",2,2,True,"[12277, 12466]"
"(2269, 6207)",2,2,True,[2269]
"(6826, 10918)",2,2,True,[10918]
"(100, 8785)",2,2,True,[8785]
"(5370, 8011)",2,2,True,[5370]
"(11905, 12090)",2,2,True,"[11905, 12090]"
"(447, 1940)",2,2,True,[1940]
"(6388, 6585)",2,2,True,[6388]
"(1366, 5014)",2,2,True,"[1366, 5014]"
"(2815, 4845, 6015)",3,2,True,[2815]
"(3502, 6742)",2,2,True,[3502]
"(6134, 8291)",2,2,True,[6134]
"(9216, 10078)",2,2,True,[9216]
"(11303, 12315)",2,2,True,[12315]
"(631, 1816)",2,2,True,[1816]
"(3650, 9096)",2,2,True,[3650]
"(1049, 1598)",2,2,True,[1049]
"(11824, 12545)",2,2,True,[12545]
