Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(412, 607)",3,[412],Fam_607=Unknown_Defense
"(5840, 7613)",3,[5840],Fam_7613=Unknown_Defense
"(2453, 2574)",3,[2574],Fam_2453=pAgo__pAgo_LongA
"(96, 5180)",3,[5180],Fam_96=cas1_I_II_III_IV_V_VI_1
"(1745, 2790)",3,[2790],Fam_1745=Unknown_Defense
"(7405, 7974)",3,[7974],Fam_7405=Unknown_Defense
"(1202, 7754)",3,[1202],Fam_7754=CBASS__Jab
"(4400, 4717)",3,[4717],Fam_4400=Unknown_Defense
"(5435, 10028)",3,[5435],Fam_10028=Unknown_Defense
"(3221, 10791)",3,[3221],Fam_10791=Unknown_Defense
"(943, 4210)",3,[4210],Fam_943=RM_Type_II__Type_II_REases
"(2584, 9364)",3,[9364],Fam_2584=Gao_Iet__IetA
"(5051, 9157)",3,[5051],Fam_9157=Unknown_Defense
"(4555, 7450)",3,[4555],Fam_7450=Unknown_Defense
"(3774, 11446)",3,[11446],Fam_3774=Unknown_Defense
"(11303, 11993)",3,[11993],Fam_11303=PfiAT__PfiT
"(7574, 9057)",3,[9057],Fam_7574=AbiEii__AbiEii
"(1807, 6122)",3,[6122],Fam_1807=Unknown_Defense
"(5634, 11275)",3,[5634],Fam_11275=MazEF__MazF
"(3055, 3411)",3,"[3055, 3411]",Pure_Novel_System
"(4171, 5966)",3,[4171],Fam_5966=AbiEii__AbiEii
"(2604, 2708)",3,[2708],Fam_2604=Unknown_Defense
"(10611, 10885)",3,"[10611, 10885]",Pure_Novel_System
"(2010, 11100)",3,[2010],Fam_11100=MazEF__MazF
"(10718, 10763)",3,[10763],Fam_10718=MazEF__MazF
"(6882, 7565)",3,"[6882, 7565]",Pure_Novel_System
"(5146, 7495)",3,[7495],Fam_5146=AbiEii__AbiEii
"(2681, 10715)",3,[10715],Fam_2681=csx1_III_9
"(3619, 3971)",3,[3971],Fam_3619=Menshen__NsnA
"(4406, 6871)",3,[6871],Fam_4406=DarTG__DarT
"(8817, 9315)",3,[8817],Fam_9315=AbiEii__AbiEi
"(757, 9098)",3,[9098],Fam_757=Unknown_Defense
"(448, 1964)",3,[1964],Fam_448=RM__Type_I_REases
"(2754, 8496)",3,[2754],Fam_8496=AbiL__AbiLii2
"(9080, 12778)",3,[12778],Fam_9080=Unknown_Defense
"(4576, 5846)",3,[5846],Fam_4576=AbiEii__AbiEi
"(980, 5127)",3,[980],Fam_5127=Thoeris__ThsB_Global
"(2725, 10094)",3,[10094],Fam_2725=Unknown_Defense
"(363, 3383)",3,[363],Fam_3383=Unknown_Defense
"(489, 1616)",3,[1616],Fam_489=RM_Type_III__Type_III_REases
"(5490, 6464)",3,[6464],Fam_5490=AbiEii__AbiEii
"(8796, 8907)",3,[8907],Fam_8796=CBASS__2TM
"(7111, 7202)",3,[7202],Fam_7111=Unknown_Defense
"(539, 4846)",3,[4846],Fam_539=Shango__SngC
"(7655, 10991)",3,[10991],Fam_7655=Unknown_Defense
"(2645, 8802)",3,[8802],Fam_2645=AbiL__AbiLi2
"(11340, 11851)",3,[11851],Fam_11340=Unknown_Defense
"(6916, 9375)",3,[9375],Fam_6916=pAgo__pAgo_S1B
"(11091, 12636)",3,[11091],Fam_12636=Unknown_Defense
"(1818, 5226)",2,[1818],Fam_5226=RM_Type_II__Type_II_REases
"(2707, 10409)",2,"[2707, 10409]",Pure_Novel_System
"(796, 1629)",2,[1629],Fam_796=RM_Type_II__Type_II_REases
"(12051, 12225)",2,[12051],Fam_12225=Unknown_Defense
"(3738, 11374)",2,[11374],Fam_3738=Unknown_Defense
