Source,Target,Weight,Source_Type,Target_Type
6483,7965,1,Expanded_Known_Family,Expanded_Known_Family
5337,10954,1,Expanded_Known_Family,Potential_Novel_Family
5337,13513,10,Expanded_Known_Family,Expanded_Known_Family
9238,9518,1,Potential_Novel_Family,Known_Family_Only
3207,5418,2,Expanded_Known_Family,Potential_Novel_Family
11334,13943,1,Potential_Novel_Family,Expanded_Known_Family
13943,12471,14,Expanded_Known_Family,Expanded_Known_Family
13943,12437,1,Expanded_Known_Family,Expanded_Known_Family
13943,12811,2,Expanded_Known_Family,Expanded_Known_Family
13943,21,1,Expanded_Known_Family,Expanded_Known_Family
3787,4284,1,Known_Family_Only,Known_Family_Only
3787,10550,1,Known_Family_Only,Potential_Novel_Family
4284,10550,1,Known_Family_Only,Potential_Novel_Family
4284,4142,1,Known_Family_Only,Expanded_Known_Family
4284,2880,1,Known_Family_Only,Known_Family_Only
4284,4089,1,Known_Family_Only,Known_Family_Only
4284,7307,1,Known_Family_Only,Potential_Novel_Family
4284,11261,1,Known_Family_Only,Known_Family_Only
5425,5865,1,Potential_Novel_Family,Known_Family_Only
5425,6595,1,Potential_Novel_Family,Potential_Novel_Family
5865,6595,1,Known_Family_Only,Potential_Novel_Family
5933,11536,1,Potential_Novel_Family,Known_Family_Only
11958,14040,1,Potential_Novel_Family,Known_Family_Only
6147,8029,4,Expanded_Known_Family,Expanded_Known_Family
6147,9383,1,Expanded_Known_Family,Expanded_Known_Family
8029,9239,4,Expanded_Known_Family,Potential_Novel_Family
8029,5681,30,Expanded_Known_Family,Expanded_Known_Family
8029,338,1,Expanded_Known_Family,Expanded_Known_Family
8029,983,1,Expanded_Known_Family,Expanded_Known_Family
8029,2097,1,Expanded_Known_Family,Expanded_Known_Family
8029,3682,1,Expanded_Known_Family,Expanded_Known_Family
8029,4655,1,Expanded_Known_Family,Known_Family_Only
8029,8109,1,Expanded_Known_Family,Expanded_Known_Family
8029,9383,1,Expanded_Known_Family,Expanded_Known_Family
8029,5025,1,Expanded_Known_Family,Known_Family_Only
8029,6719,1,Expanded_Known_Family,Potential_Novel_Family
8029,9396,2,Expanded_Known_Family,Expanded_Known_Family
11710,12834,5,Expanded_Known_Family,Expanded_Known_Family
12834,11786,2,Expanded_Known_Family,Known_Family_Only
8690,11053,1,Known_Family_Only,Potential_Novel_Family
1202,3743,2,Expanded_Known_Family,Expanded_Known_Family
1202,5713,1,Expanded_Known_Family,Potential_Novel_Family
3743,11579,1,Expanded_Known_Family,Potential_Novel_Family
3743,8113,1,Expanded_Known_Family,Known_Family_Only
3743,2943,1,Expanded_Known_Family,Known_Family_Only
3743,10002,1,Expanded_Known_Family,Known_Family_Only
2542,5380,1,Potential_Novel_Family,Expanded_Known_Family
5380,3488,7,Expanded_Known_Family,Expanded_Known_Family
5380,7771,2,Expanded_Known_Family,Expanded_Known_Family
5380,3273,1,Expanded_Known_Family,Known_Family_Only
5380,6782,2,Expanded_Known_Family,Known_Family_Only
5380,10799,1,Expanded_Known_Family,Potential_Novel_Family
5380,2394,1,Expanded_Known_Family,Potential_Novel_Family
5380,6479,2,Expanded_Known_Family,Known_Family_Only
5380,1626,1,Expanded_Known_Family,Potential_Novel_Family
5380,3129,1,Expanded_Known_Family,Expanded_Known_Family
5380,5203,1,Expanded_Known_Family,Expanded_Known_Family
5380,4512,1,Expanded_Known_Family,Potential_Novel_Family
5380,4521,1,Expanded_Known_Family,Potential_Novel_Family
5380,5092,2,Expanded_Known_Family,Potential_Novel_Family
5380,5311,1,Expanded_Known_Family,Potential_Novel_Family
5380,7918,1,Expanded_Known_Family,Potential_Novel_Family
5380,9607,1,Expanded_Known_Family,Known_Family_Only
3783,4003,1,Expanded_Known_Family,Potential_Novel_Family
3783,645,1,Expanded_Known_Family,Expanded_Known_Family
3783,6462,2,Expanded_Known_Family,Expanded_Known_Family
3783,6734,2,Expanded_Known_Family,Expanded_Known_Family
3783,4061,3,Expanded_Known_Family,Expanded_Known_Family
3783,366,2,Expanded_Known_Family,Expanded_Known_Family
3783,6825,1,Expanded_Known_Family,Expanded_Known_Family
3783,9313,1,Expanded_Known_Family,Expanded_Known_Family
3783,344,1,Expanded_Known_Family,Expanded_Known_Family
3783,377,2,Expanded_Known_Family,Expanded_Known_Family
3783,2069,3,Expanded_Known_Family,Expanded_Known_Family
3783,1481,1,Expanded_Known_Family,Expanded_Known_Family
3783,2295,1,Expanded_Known_Family,Expanded_Known_Family
3783,983,2,Expanded_Known_Family,Expanded_Known_Family
3783,61,1,Expanded_Known_Family,Expanded_Known_Family
3783,381,1,Expanded_Known_Family,Known_Family_Only
3783,3498,1,Expanded_Known_Family,Known_Family_Only
3783,6143,1,Expanded_Known_Family,Potential_Novel_Family
1926,2814,1,Potential_Novel_Family,Known_Family_Only
4357,5600,1,Potential_Novel_Family,Known_Family_Only
10406,10898,1,Potential_Novel_Family,Expanded_Known_Family
10898,11583,1,Expanded_Known_Family,Known_Family_Only
10898,7914,1,Expanded_Known_Family,Expanded_Known_Family
10898,12157,1,Expanded_Known_Family,Expanded_Known_Family
5578,9383,102,Expanded_Known_Family,Expanded_Known_Family
5578,8104,1,Expanded_Known_Family,Expanded_Known_Family
5578,3224,1,Expanded_Known_Family,Expanded_Known_Family
5578,6985,2,Expanded_Known_Family,Expanded_Known_Family
5578,7650,2,Expanded_Known_Family,Expanded_Known_Family
5578,2213,10,Expanded_Known_Family,Expanded_Known_Family
5578,13395,1,Expanded_Known_Family,Known_Family_Only
5578,6315,1,Expanded_Known_Family,Potential_Novel_Family
5578,4855,1,Expanded_Known_Family,Expanded_Known_Family
5578,4948,1,Expanded_Known_Family,Expanded_Known_Family
5578,9411,3,Expanded_Known_Family,Expanded_Known_Family
5578,8069,2,Expanded_Known_Family,Expanded_Known_Family
5578,12751,1,Expanded_Known_Family,Expanded_Known_Family
9383,6197,1,Expanded_Known_Family,Potential_Novel_Family
9383,3224,1,Expanded_Known_Family,Expanded_Known_Family
9383,5045,1,Expanded_Known_Family,Expanded_Known_Family
9383,4855,1,Expanded_Known_Family,Expanded_Known_Family
9383,4948,1,Expanded_Known_Family,Expanded_Known_Family
9383,9411,3,Expanded_Known_Family,Expanded_Known_Family
9383,6985,1,Expanded_Known_Family,Expanded_Known_Family
9383,7650,1,Expanded_Known_Family,Expanded_Known_Family
9383,8069,1,Expanded_Known_Family,Expanded_Known_Family
1729,13297,1,Potential_Novel_Family,Known_Family_Only
7919,11792,1,Potential_Novel_Family,Known_Family_Only
6003,7458,15,Expanded_Known_Family,Expanded_Known_Family
6003,7486,27,Expanded_Known_Family,Expanded_Known_Family
6003,5156,1,Expanded_Known_Family,Expanded_Known_Family
6003,11608,1,Expanded_Known_Family,Potential_Novel_Family
6003,5419,1,Expanded_Known_Family,Expanded_Known_Family
6003,8827,1,Expanded_Known_Family,Expanded_Known_Family
6003,12633,1,Expanded_Known_Family,Expanded_Known_Family
