Composition,Frequency,Novel_Family_ID,Known_System_Function
"(2268, 3739)",2,[3739],Fam2268=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
"(4744, 9181)",2,[9181],Fam4744=RM_Type_II__Type_II_MTases
"(8389, 10268)",2,[8389],Fam10268=ShosTA__ShosT
"(12001, 12446)",2,[12001],Fam12446=PfiAT__PfiA
"(1769, 1795)",2,[1769],Fam1795=RM_Type_IV__Type_IV_REases
"(2454, 8461)",2,[2454],Fam8461=Zorya__ZorB
"(3131, 7830)",2,[3131],Fam7830=Gao_Qat__QatB
"(4903, 6009)",2,[4903],Fam6009=Zorya__ZorB
"(421, 4377, 9422)",2,[4377],Fam421=Wadjet__JetC_I; Fam9422=Wadjet__JetB_I
"(12021, 12421)",2,[12021],Fam12421=PfiAT__PfiA
"(6047, 9751)",2,[6047],Fam9751=RosmerTA__RmrT_2662548665
"(7515, 10077)",2,[10077],Fam7515=SanaTA__SanaT
"(9322, 9889)",2,[9322],Fam9889=RnlAB__RnlB
"(7509, 9990)",2,[9990],Fam7509=AbiEii__AbiEii
"(284, 1170)",2,[284],Fam1170=BREX__pglXI
"(7530, 9882)",2,[9882],Fam7530=Zorya__ZorB
"(7682, 7834)",2,[7834],Fam7682=Gao_TerY__TerYA
"(4821, 5054)",2,"[4821, 5054]",Pure_Novel_System
"(9309, 9542)",2,[9542],Fam9309=AbiEii__AbiEii
"(661, 4079, 10387)",2,[4079],Fam661=Wadjet__JetC_I; Fam10387=Wadjet__JetB_I
"(1659, 4598)",2,"[1659, 4598]",Pure_Novel_System
"(11762, 11971)",2,[11971],Fam11762=MazEF__MazF
"(8275, 10007)",2,[10007],Fam8275=AbiEii__AbiEii
"(8433, 12495)",2,[12495],Fam8433=CapRel__CapRel
"(2428, 7462)",2,[7462],Fam2428=BREX__pglZ3
"(1065, 8836)",2,[1065],Fam8836=Wadjet__JetD_III
"(6058, 9136)",2,[9136],Fam6058=AbiEii__AbiEii
"(664, 7664)",2,[664],Fam7664=CARD_NLR__CARD_Protease_new
"(3661, 4916)",2,[4916],Fam3661=RM__Type_I_MTases
"(1792, 5216)",2,[1792],Fam5216=RM_Type_II__Type_II_MTases
"(5649, 11909)",2,[11909],Fam5649=Dnd__DndA
"(7249, 7606)",2,[7606],Fam7249=RosmerTA__RmrT_2603008502
"(1353, 7918)",2,[7918],Fam1353=Zorya__ZorA
"(11751, 12550)",2,[12550],Fam11751=MazEF__MazF
"(6633, 10024)",2,[10024],Fam6633=RM_Type_II__Type_II_REases
"(7251, 10290)",2,[10290],Fam7251=Butters_gp30_gp31__Butters_gp30
"(7639, 8912)",2,[8912],Fam7639=cmr4gr7_III-B_III-C_2
"(2582, 4948)",2,[4948],Fam2582=Gabija__GajA
"(4077, 11654)",2,"[4077, 11654]",Pure_Novel_System
"(6350, 6779)",2,[6779],Fam6350=Zorya__ZorB
"(6200, 10558)",2,[10558],Fam6200=Butters_gp30_gp31__Butters_gp30
"(5801, 11149)",2,[11149],Fam5801=CBASS__Cyclase_II
"(8044, 10314)",2,[8044],Fam10314=AbiEii__AbiEi_4
"(6069, 8972)",2,[8972],Fam6069=AbiEii__AbiEii
"(9042, 10091)",2,[10091],Fam9042=AbiEii__AbiEii
"(6278, 9012)",2,[9012],Fam6278=SanaTA__SanaT
"(7525, 8534)",2,[8534],Fam7525=AbiEii__AbiEii
"(8060, 10526)",2,[10526],Fam8060=AbiEii__AbiEii
"(801, 1466)",2,[1466],Fam801=RM_Type_III__Type_III_REases
"(638, 956)",2,[638],Fam956=RM_Type_IIG__Type_IIG
"(2077, 2803)",2,[2077],Fam2803=Dpd__DpdI
"(1496, 1915)",2,[1915],Fam1496=RM_Type_III__Type_III_REases
"(6739, 7606)",2,[7606],Fam6739=RosmerTA__RmrT_2603008502
"(4644, 5444)",2,"[4644, 5444]",Pure_Novel_System
"(3920, 6655)",2,"[3920, 6655]",Pure_Novel_System
"(31, 6361)",2,[6361],Fam31=Lamassu-Fam__LmuA_effector_Lipase
"(9880, 10084)",2,[10084],Fam9880=cas6e_I_II_III_IV_V_VI_2
"(4172, 5466)",2,[4172],Fam5466=RM_Type_II__Type_II_REases
"(1925, 3918)",2,[3918],Fam1925=DRT_3__drt3b
"(6653, 8299)",2,[8299],Fam6653=AbiEii__AbiEii
"(2108, 3769, 5598)",2,"[2108, 3769]",Fam5598=Eleos__LeoBC
"(2624, 4310)",2,[2624],Fam4310=Lamassu-Fam__LmuA_effector_Sir2
"(3736, 3764)",2,"[3736, 3764]",Pure_Novel_System
"(4272, 4983)",2,[4272],Fam4983=RM_Type_II__Type_II_MTases
"(2765, 5622)",2,[5622],Fam2765=Gao_Qat__QatB
"(1472, 4145)",2,[4145],Fam1472=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
"(3900, 5599)",2,[3900],Fam5599=Dpd__DpdB
"(189, 7331)",2,"[189, 7331]",Pure_Novel_System
"(4300, 5444)",2,"[4300, 5444]",Pure_Novel_System
"(9472, 11198)",2,[9472],Fam11198=cas2_I_II_III_IV_V_VI_4
"(1353, 8407)",2,[8407],Fam1353=Zorya__ZorA
"(12148, 12529)",2,[12148],Fam12529=MazEF__MazE
"(5340, 7087, 9820)",2,[9820],Fam5340=Menshen__NsnB; Fam7087=Menshen__NsnC_2507451963
"(2839, 9178)",2,[2839],Fam9178=Thoeris__ThsB_Global
"(7696, 7818)",2,[7818],Fam7696=AbiEii__AbiEii
"(4666, 6222)",2,"[4666, 6222]",Pure_Novel_System
"(1925, 3748)",2,[3748],Fam1925=DRT_3__drt3b
"(1558, 8134)",2,[1558],Fam8134=Hachiman__HamA_1
"(8213, 10031)",2,[10031],Fam8213=AbiEii__AbiEii
"(2112, 2667)",2,[2112],Fam2667=RM_Type_IV__Type_IV_REases
"(1309, 1997)",2,"[1309, 1997]",Pure_Novel_System
"(11935, 12401)",2,[11935],Fam12401=PfiAT__PfiA
"(6968, 11381)",2,"[6968, 11381]",Pure_Novel_System
"(8356, 8948)",2,[8948],Fam8356=AbiEii__AbiEii
"(2647, 5631, 10501)",2,[10501],Fam2647=Lamassu-Fam__LmuB_SMC_PDDEXK; Fam5631=Lamassu-Fam__LmuA_effector_Cap4_nuclease_II
"(1900, 12229)",2,[1900],Fam12229=cas2_I_II_III_IV_V_VI_3
"(3430, 6130)",2,[3430],Fam6130=RM_Type_II__Type_II_MTases
"(8659, 10201)",2,[10201],Fam8659=AbiEii__AbiEii
