Composition,Frequency,Novel_Family_ID,Known_System_Function
"(7715, 8113)",5,"[7715, 8113]",Pure_Novel_System
"(17, 2815)",5,[2815],Fam17=Dpd__DpdF
"(1591, 1622)",5,"[1591, 1622]",Pure_Novel_System
"(7599, 7696)",5,[7599],Fam7696=AbiEii__AbiEii
"(11968, 12446)",5,[11968],Fam12446=PfiAT__PfiA
"(11830, 12359)",5,[11830],Fam12359=MazEF__MazE
"(6097, 7076)",5,[6097],Fam7076=Zorya__ZorB
"(83, 4087)",5,[4087],Fam83=Wadjet__JetC_III
"(8679, 11410)",5,[8679],Fam11410=cas2_I_II_III_IV_V_VI_4
"(666, 3261)",5,[3261],Fam666=BREX__brxC
"(1050, 1121)",5,"[1050, 1121]",Pure_Novel_System
"(6553, 8410)",5,[6553],Fam8410=Zorya__ZorB
"(4698, 7164)",5,[4698],Fam7164=RM_Type_II__Type_II_REases
"(3383, 5726)",5,[3383],Fam5726=Zorya__ZorB
"(4053, 4256)",5,[4256],Fam4053=Bunzi__BnzB
"(3125, 8345)",5,[3125],Fam8345=RosmerTA__RmrT_2600853143
"(813, 2059)",5,"[813, 2059]",Pure_Novel_System
"(4760, 5384)",5,[4760],Fam5384=Zorya__ZorB
"(5802, 5882)",5,[5802],Fam5882=Zorya__ZorB
"(2468, 5349)",5,[5349],Fam2468=BREX__brxL
"(5521, 7751)",5,[5521],Fam7751=AbiEii__AbiEii
"(8627, 10201)",5,[10201],Fam8627=AbiEii__AbiEii
"(2144, 8514)",5,[8514],Fam2144=Gao_Qat__QatC
"(11335, 11345)",5,[11345],Fam11335=PfiAT__PfiA
"(5339, 7446, 11339)",5,[7446],Fam5339=cmr4gr7_III-B_III-C_2; Fam11339=cmr5gr11_III-B_18
"(2404, 2511)",5,[2404],Fam2511=RM_Type_II__Type_II_MTases
"(11335, 11901)",5,[11901],Fam11335=PfiAT__PfiA
"(7870, 8395)",5,[8395],Fam7870=AbiEii__AbiEii
"(5725, 7191)",5,[5725],Fam7191=PD-Lambda-5__PD-Lambda-5_B
"(9224, 10261)",5,[10261],Fam9224=AbiEii__AbiEii
"(7207, 9958)",5,[9958],Fam7207=AbiEii__AbiEii
"(4753, 9888)",5,[9888],Fam4753=RM_Type_II__Type_II_MTases
